,C. sp X1,C. sp X2,C. sp X3,C. sp X4,C. sp X5,C. sp X6,C. sp X7,C. sp X8,C. sp X9,descriptions
PF03587,1,1,1,1,1,1,1,1,2,EMG1/NEP1 methyltransferase
PF03588,0,2,2,0,6,0,1,2,2,Leucyl/phenylalanyl-tRNA protein transferase
PF03591,0,2,4,0,4,0,0,1,1,AzlC protein
PF03594,0,0,0,0,2,0,0,0,3,Benzoate membrane transport protein
PF03595,1,3,1,2,1,3,2,1,2,Voltage-dependent anion channel
PF03600,1,5,8,1,9,1,2,6,4,Citrate transporter
PF03601,0,1,1,0,7,0,0,1,2,Conserved hypothetical protein 698
PF03602,2,4,5,1,6,1,2,4,2,Conserved hypothetical protein 95
PF03604,0,1,1,1,0,0,0,0,1,"DNA directed RNA polymerase, 7 kDa subunit"
PF03606,0,0,0,0,1,0,0,0,0,C4-dicarboxylate anaerobic carrier
PF03610,0,2,2,0,5,0,1,2,1,PTS system fructose IIA component
PF03618,0,1,2,0,4,0,1,3,3,Kinase/pyrophosphorylase
PF03619,0,0,1,0,1,0,0,1,0,Organic solute transporter Ostalpha
PF03625,0,0,0,0,2,0,0,0,0,Domain of unknown function DUF302 
PF03626,0,0,1,0,5,0,1,2,0,Prokaryotic Cytochrome C oxidase subunit IV 
PF03629,0,0,0,0,2,0,0,0,0,"Carbohydrate esterase, sialic acid-specific acetylesterase"
PF03630,1,1,1,1,1,1,1,1,1,Fumble 
PF03631,0,10,13,0,19,0,2,6,8,Virulence factor BrkB
PF03632,0,2,2,1,2,0,0,0,1,Glycosyl hydrolase family 65 central catalytic domain
PF03633,0,2,2,0,1,0,0,0,1,"Glycosyl hydrolase family 65, C-terminal domain "
PF03635,1,1,1,1,1,1,1,1,1,Vacuolar protein sorting-associated protein 35 
PF03636,1,3,3,1,3,1,1,1,2,"Glycosyl hydrolase family 65, N-terminal domain "
PF03637,3,3,3,3,3,3,3,3,3,Mob1/phocein family
PF03639,1,1,1,1,1,1,1,1,1,Glycosyl hydrolase family 81 N-terminal domain
PF03640,0,0,0,0,1,0,0,0,0,Secreted repeat of unknown function
PF03641,2,7,9,2,8,2,4,8,6,Possible lysine decarboxylase
PF03643,1,1,1,1,1,1,1,1,1,Vacuolar protein sorting-associated protein 26 
PF03644,1,1,1,1,1,1,1,1,1,Glycosyl hydrolase family 85 
PF03645,1,0,0,0,0,1,0,0,0,Tctex-1 family
PF03647,1,1,1,1,0,1,0,1,0,Transmembrane proteins 14C
PF03648,0,0,0,0,1,0,0,0,0,Glycosyl hydrolase family 67 N-terminus
PF03649,0,3,1,0,0,0,0,0,0,Uncharacterised protein family (UPF0014)
PF03650,1,1,2,1,2,1,1,1,2,Mitochondrial pyruvate carriers
PF03652,0,3,5,0,5,0,1,3,2,Holliday junction resolvase
PF03653,0,0,1,0,7,0,1,4,0,Uncharacterised protein family (UPF0093)
PF03656,2,2,2,2,2,1,2,2,1,Pam16
PF03657,1,1,1,1,1,1,1,1,1,UPF0113 PUA domain
PF03659,1,5,1,1,1,1,1,1,1,Glycosyl hydrolase family 71
PF03660,1,1,1,1,1,1,1,1,1,PHF5-like protein
PF03661,1,1,1,1,1,1,1,1,1,Uncharacterised protein family (UPF0121)
PF03663,2,5,2,2,2,2,2,2,2,Glycosyl hydrolase family 76 
PF03666,1,1,1,1,1,1,1,1,1,Nitrogen Permease regulator of amino acid transport activity 3
PF03668,0,4,4,0,6,0,0,1,2,P-loop ATPase protein family
PF03676,1,1,1,1,1,1,1,1,1,Uncharacterised protein family (UPF0183)
PF03683,0,0,0,0,0,0,0,0,2,Uncharacterised protein family (UPF0175)
PF03690,1,1,2,1,2,1,1,2,1,Uncharacterised protein family (UPF0160)
PF03692,0,0,1,0,5,0,1,2,0,Putative zinc- or iron-chelating domain
PF03693,0,0,5,0,6,0,0,4,1,Bacterial antitoxin of ParD toxin-antitoxin type II system and RHH
PF03694,2,1,0,2,1,0,1,2,0,Erg28 like protein
PF03695,0,0,0,0,3,0,1,1,0,Uncharacterised protein family (UPF0149)
PF03699,0,2,1,0,0,0,0,0,3,Uncharacterised protein family (UPF0182)
PF03702,0,1,0,0,5,0,1,1,0,Anhydro-N-acetylmuramic acid kinase
PF03703,0,6,5,0,3,0,2,2,1,Bacterial PH domain
PF03704,0,4,3,0,2,0,0,0,3,Bacterial transcriptional activator domain
PF03705,0,1,2,0,9,0,0,3,4,"CheR methyltransferase, all-alpha domain"
PF03706,0,8,10,0,9,0,0,0,1,Lysylphosphatidylglycerol synthase TM region
PF03707,2,2,2,2,4,2,2,3,3,Bacterial signalling protein N terminal repeat
PF03710,0,2,3,0,5,0,1,3,2,Glutamate-ammonia ligase adenylyltransferase
PF03713,0,4,3,0,10,0,1,2,3,Domain of unknown function (DUF305)
PF03715,1,1,1,1,1,1,1,1,1,Noc2p family
PF03717,0,10,6,0,11,0,2,6,5,Penicillin-binding Protein dimerisation domain
PF03719,2,6,6,2,9,2,3,6,4,"Ribosomal protein S5, C-terminal domain"
PF03720,1,6,12,1,12,1,2,8,8,"UDP-glucose/GDP-mannose dehydrogenase family, UDP binding domain"
PF03721,0,6,12,0,12,0,1,7,8,"UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain"
PF03724,0,0,3,0,0,0,0,0,0,META domain
PF03725,1,7,8,1,12,1,2,6,4,"3' exoribonuclease family, domain 2"
PF03726,0,4,4,0,6,0,1,2,3,"Polyribonucleotide nucleotidyltransferase, RNA binding domain"
PF03727,3,3,2,3,3,3,3,4,2,Hexokinase
PF03729,0,0,0,0,2,0,1,0,0,Short repeat of unknown function (DUF308)
PF03730,1,1,1,1,1,1,1,1,1,Ku70/Ku80 C-terminal arm
PF03731,2,2,2,2,2,2,2,2,2,Ku70/Ku80 N-terminal alpha/beta domain
PF03732,0,1,0,2,0,0,0,0,1,Retrotransposon gag protein 
PF03733,1,2,2,1,3,1,1,1,1,Inner membrane component domain
PF03734,0,11,13,0,17,0,5,10,0,"L,D-transpeptidase catalytic domain"
PF03737,1,6,4,1,19,1,1,6,1,Aldolase/RraA
PF03738,0,0,3,0,4,0,1,1,1,Glutathionylspermidine synthase preATP-grasp
PF03739,0,0,4,0,16,0,2,5,1,Lipopolysaccharide export system permease LptF/LptG
PF03740,0,0,3,0,6,0,1,3,1,Pyridoxal phosphate biosynthesis protein PdxJ
PF03741,0,7,8,0,16,0,1,5,5,Integral membrane protein TerC family
PF03743,0,0,5,0,19,0,4,3,0,Bacterial conjugation TrbI-like protein 
PF03746,0,4,5,0,2,0,0,1,4,LamB/YcsF family
PF03747,1,2,3,1,3,1,1,2,5,ADP-ribosylglycohydrolase
PF03748,0,1,3,0,3,0,1,3,2,Flagellar basal body-associated protein FliL
PF03749,0,0,0,0,0,0,0,0,1,Sugar fermentation stimulation protein RE domain
PF03755,0,0,1,0,4,0,0,0,0,"YicC-like family, N-terminal region "
PF03764,3,8,10,3,14,3,4,6,7,"Elongation factor G, domain IV"
PF03765,4,4,4,4,3,3,3,4,4,"CRAL/TRIO, N-terminal domain"
PF03767,0,0,0,0,0,0,0,1,0,"HAD superfamily, subfamily IIIB (Acid phosphatase)"
PF03770,2,2,2,2,2,2,2,2,3,Inositol polyphosphate kinase 
PF03772,0,4,6,0,6,0,1,3,2,Competence protein
PF03775,0,0,1,0,5,0,0,0,0,"Septum formation inhibitor MinC, C-terminal domain"
PF03776,0,0,1,0,4,0,0,0,0,Septum formation topological specificity factor MinE
PF03779,0,0,0,0,1,0,0,0,0,SPW repeat
PF03780,0,2,4,0,0,0,0,0,0,"Asp23 family, cell envelope-related function"
PF03781,1,2,5,1,9,1,3,5,2,Sulfatase-modifying factor enzyme 1
PF03783,0,0,0,0,1,0,1,1,0,Curli production assembly/transport component CsgG
PF03786,0,0,1,0,7,0,0,0,0,D-mannonate dehydratase (UxuA)
PF03787,0,1,0,0,0,0,0,0,0,RAMP superfamily
PF03788,0,0,1,0,0,0,0,1,0,LrgA family
PF03793,0,8,9,0,0,0,0,0,6,PASTA domain
PF03795,0,7,3,0,6,0,0,0,11,YCII-related domain
PF03796,0,7,3,0,7,0,1,4,2,DnaB-like helicase C terminal domain
PF03797,0,0,1,0,0,0,0,2,0,Autotransporter beta-domain
PF03798,5,5,5,5,5,5,5,5,4,TLC domain
PF03799,0,1,2,0,6,0,1,4,1,Cell division protein FtsQ
PF03800,1,1,1,1,1,1,1,1,1,Nuf2 family
PF03801,1,1,1,1,1,1,1,1,1,HEC/Ndc80p family
PF03803,1,1,1,1,1,1,1,1,0,Scramblase 
PF03806,0,1,0,0,0,0,0,0,0,AbgT putative transporter family
PF03807,5,22,24,4,42,3,10,18,22,NADP oxidoreductase coenzyme F420-dependent
PF03808,0,1,5,0,9,0,0,3,1,Glycosyl transferase WecB/TagA/CpsF family
PF03810,9,10,9,9,9,8,10,9,10,Importin-beta N-terminal domain
PF03812,0,0,0,0,1,0,0,0,1,2-keto-3-deoxygluconate permease
PF03813,1,1,1,1,1,1,1,1,2,Nrap protein domain 1
PF03814,0,4,4,0,8,0,1,3,3,Potassium-transporting ATPase A subunit
PF03815,1,1,1,1,1,1,1,1,1,LCCL domain
PF03816,0,9,7,0,2,0,0,0,6,Cell envelope-related transcriptional attenuator domain
PF03819,0,6,4,0,9,0,0,3,3,MazG nucleotide pyrophosphohydrolase domain
PF03820,1,1,1,1,1,1,1,1,1,Tricarboxylate carrier
PF03824,1,1,2,1,1,1,1,2,1,High-affinity nickel-transport protein
PF03825,0,1,2,0,3,0,0,1,0,Nucleoside H+ symporter
PF03828,3,3,3,3,3,3,3,3,3,Cid1 family poly A polymerase
PF03834,1,1,0,1,1,1,1,1,1,Binding domain of DNA repair protein Ercc1 (rad10/Swi10)
PF03835,3,3,3,3,3,3,3,3,3,Rad4 transglutaminase-like domain
PF03836,2,2,2,2,2,2,2,2,2,RasGAP C-terminus
PF03839,1,1,1,1,1,1,1,1,1,Translocation protein Sec62
PF03840,0,2,6,0,6,0,0,3,2,Preprotein translocase SecG subunit
PF03841,0,2,1,0,1,0,0,0,0,L-seryl-tRNA selenium transferase
PF03845,0,0,2,0,4,0,0,1,1,Spore germination protein
PF03847,1,1,1,1,1,1,1,1,2,Transcription initiation factor TFIID subunit A
PF03848,0,3,0,1,0,1,1,0,2,Tellurite resistance protein TehB
PF03849,1,1,1,1,1,1,1,1,1,Transcription factor Tfb2
PF03850,1,1,1,1,1,1,1,1,1,Transcription factor Tfb4
PF03851,1,3,4,1,5,1,2,4,1,UV-endonuclease UvdE
PF03852,0,1,3,0,7,0,2,0,2,DNA mismatch endonuclease Vsr
PF03853,2,6,6,2,8,2,3,4,5,YjeF-related protein N-terminus
PF03856,1,2,2,2,2,2,2,2,2,Beta-glucosidase (SUN family)
PF03860,0,1,0,0,1,0,0,0,0,Domain of Unknown Function (DUF326) 
PF03861,0,19,6,0,1,0,0,0,9,ANTAR domain
PF03864,0,1,0,0,0,0,0,0,0,Phage major capsid protein E
PF03865,0,0,2,0,3,0,0,2,1,Haemolysin secretion/activation protein ShlB/FhaC/HecB
PF03869,0,0,0,0,2,0,0,0,1,Arc-like DNA binding domain
PF03870,1,1,1,1,1,1,1,1,1,RNA polymerase Rpb8
PF03871,1,1,1,1,1,1,1,1,1,"RNA polymerase Rpb5, N-terminal domain"
PF03874,2,2,2,2,2,2,2,2,2,RNA polymerase Rpb4
PF03876,3,3,3,3,3,3,3,2,3,SHS2 domain found in N terminus of Rpb7p/Rpc25p/MJ0397
PF03878,1,1,1,1,1,1,1,1,1,YIF1
PF03879,1,1,1,1,1,1,1,1,1,Cgr1 family
PF03880,0,4,3,0,7,0,1,3,2,DbpA RNA binding domain   
PF03881,8,3,6,4,7,4,3,3,5,Fructosamine kinase
PF03883,0,3,1,0,1,0,0,2,1,Peroxide stress protein YaaA
PF03884,0,0,0,0,2,0,0,0,0,DNA gyrase inhibitor YacG
PF03886,0,0,3,0,5,0,2,5,0,ABC-type transport auxiliary lipoprotein component
PF03887,0,0,0,0,1,0,0,0,0,YfbU domain
PF03893,0,0,0,0,1,1,0,0,0,Lipase 3 N-terminal region
PF03894,1,3,2,1,6,1,1,1,4,D-xylulose 5-phosphate/D-fructose 6-phosphate phosphoketolase
PF03895,0,0,1,0,0,0,0,0,0,YadA-like membrane anchor domain
PF03900,0,2,4,0,5,0,1,2,3,"Porphobilinogen deaminase, C-terminal domain"
PF03901,3,4,3,4,4,4,4,3,4,Alg9-like mannosyltransferase family
PF03907,1,1,1,1,1,0,1,1,1,Spo7-like protein
PF03908,1,1,1,1,1,1,1,1,1,Sec20
PF03909,2,2,2,2,2,2,2,2,2,BSD domain  
PF03911,0,0,0,0,1,0,0,0,1,Sec61beta family
PF03912,0,0,0,0,1,0,0,0,1,Psb28 protein
PF03914,3,3,3,3,3,3,3,3,4,CBF/Mak21 family
PF03915,1,1,1,1,1,1,1,1,1,Actin interacting protein 3
PF03916,0,2,4,0,1,0,1,0,0,"Polysulphide reductase, NrfD"
PF03917,1,1,1,1,1,1,1,1,1,"Eukaryotic glutathione synthase, ATP binding domain"
PF03918,0,2,1,0,3,0,0,1,0,Cytochrome C biogenesis protein
PF03919,1,1,1,1,1,1,1,1,1,"mRNA capping enzyme, C-terminal domain"
PF03922,0,0,0,0,1,0,0,0,0,OmpW family
PF03924,0,0,3,0,2,0,0,1,0,CHASE domain
PF03928,0,3,6,0,7,0,3,3,3,Haem-degrading
PF03929,0,0,4,0,9,0,3,6,0,PepSY-associated TM region
PF03931,2,1,2,2,2,2,2,2,2,"Skp1 family, tetramerisation domain"
PF03932,0,0,0,0,2,0,0,0,1,CutC family
PF03934,0,0,2,0,4,0,1,3,0,"Type II secretion system (T2SS), protein K"
PF03935,1,1,1,1,1,1,1,1,1,Beta-glucan synthesis-associated protein (SKN1)
PF03937,1,1,2,1,3,1,1,4,1,Flavinator of succinate dehydrogenase
PF03938,0,0,1,0,6,0,1,3,0,Outer membrane protein (OmpH-like)
PF03939,1,1,1,1,1,1,1,1,1,"Ribosomal protein L23, N-terminal domain"
PF03941,1,1,1,1,1,1,1,1,1,"Inner centromere protein, ARK binding region"
PF03943,2,2,1,2,2,2,2,1,2,TAP C-terminal domain
PF03944,0,0,0,0,1,0,0,0,0,delta endotoxin
PF03946,2,5,7,2,7,1,3,5,4,"Ribosomal protein L11, N-terminal domain"
PF03947,1,6,7,2,9,2,3,5,5,"Ribosomal Proteins L2, C-terminal domain"
PF03948,0,4,4,0,6,0,1,3,3,"Ribosomal protein L9, C-terminal domain"
PF03949,2,4,7,2,10,2,3,4,5,"Malic enzyme, NAD binding domain"
PF03950,2,2,2,2,2,2,2,2,3,"tRNA synthetases class I (E and Q), anti-codon binding domain"
PF03951,1,5,7,1,7,1,2,4,6,"Glutamine synthetase, beta-Grasp domain"
PF03952,1,5,8,1,10,1,2,4,5,"Enolase, N-terminal domain"
PF03953,3,3,2,2,2,3,3,3,3,Tubulin C-terminal domain
PF03958,0,0,2,0,6,0,1,3,0,Bacterial type II/III secretion system short domain
PF03959,6,6,5,3,7,6,5,5,3,Serine hydrolase (FSH1)
PF03960,0,0,0,0,2,0,0,0,1,ArsC family
PF03963,0,1,2,0,5,0,1,3,2,Flagellar hook capping protein - N-terminal region
PF03965,0,2,1,0,1,0,1,0,1,Penicillinase repressor
PF03966,1,0,2,1,3,1,2,1,1,Trm112p-like protein
PF03967,0,0,1,0,4,0,0,0,0,"Photosynthetic reaction centre, H-chain N-terminal region"
PF03968,0,0,1,0,6,0,1,3,0,OstA-like protein
PF03969,1,1,2,1,6,1,2,4,3,AFG1-like ATPase
PF03971,0,3,0,0,0,0,0,0,0,Monomeric isocitrate dehydrogenase
PF03972,2,3,3,1,13,1,2,10,5,MmgE/PrpD family
PF03975,0,1,1,0,1,0,0,2,0,CheD chemotactic sensory transduction
PF03976,0,6,4,0,9,0,1,4,3,Polyphosphate kinase 2 (PPK2)
PF03979,0,5,5,0,9,0,1,3,0,"Sigma-70 factor, region 1.1"
PF03980,1,1,1,1,1,1,1,1,1,Nnf1 
PF03981,1,1,2,1,6,1,2,4,1,Ubiquinol-cytochrome C chaperone 
PF03982,1,1,1,1,1,1,1,1,1,Diacylglycerol acyltransferase 
PF03983,1,1,1,1,1,1,1,1,1,"SLA1 homology domain 1, SHD1 "
PF03985,1,1,1,1,1,1,1,1,1,Paf1 
PF03986,1,1,1,1,1,1,1,1,1,"Autophagocytosis associated protein (Atg3), N-terminal domain "
PF03987,1,1,1,1,2,1,1,1,1,"Autophagocytosis associated protein, active-site domain "
PF03988,0,1,0,0,0,0,0,0,0,Repeat of Unknown Function (DUF347) 
PF03989,0,6,7,0,10,0,1,5,6,"DNA gyrase C-terminal domain, beta-propeller"
PF03990,0,1,1,0,0,0,0,0,2,G5-linked-Ubiquitin-like domain
PF03992,2,8,20,0,28,1,8,7,18,Antibiotic biosynthesis monooxygenase
PF03993,0,2,1,0,0,0,0,0,2,Domain of Unknown Function (DUF349)
PF03994,0,1,2,0,6,0,1,3,1,Domain of Unknown Function (DUF350) 
PF03995,0,2,0,0,0,0,0,0,1,Peptidase inhibitor family I36
PF03997,1,1,1,0,1,1,1,1,1,VPS28 protein
PF03998,1,1,1,1,1,1,1,1,1,Utp11 protein
PF03999,1,1,1,1,1,1,1,1,1,Microtubule associated protein (MAP65/ASE1 family)
PF04000,3,3,3,3,3,3,3,3,3,Sas10/Utp3/C1D family
PF04002,0,0,5,0,11,0,1,6,1,RadC-like JAB domain
PF04003,3,3,3,3,3,3,3,3,3,Dip2/Utp12 Family
PF04004,1,1,1,1,1,1,1,1,1,Leo1-like protein
PF04005,1,1,1,1,1,1,1,1,2,Hus1-like protein
PF04006,1,1,1,1,1,1,1,1,1,Mpp10 protein
PF04007,0,4,2,0,0,0,0,0,0,Protein of unknown function (DUF354)
PF04011,0,1,2,0,1,0,0,2,0,LemA family
PF04012,0,5,6,0,5,0,2,4,5,PspA/IM30 family
PF04014,0,0,7,0,7,0,0,3,0,"Antidote-toxin recognition MazE, bacterial antitoxin"
PF04015,0,0,2,0,0,0,0,0,0,Domain of unknown function (DUF362) 
PF04020,0,1,0,0,5,0,0,0,0,"Mycobacterial 4 TMS phage holin, superfamily IV"
PF04023,0,5,5,0,1,0,1,0,2,FeoA domain
PF04024,0,8,3,0,0,0,1,2,1,PspC domain
PF04025,0,0,0,0,1,0,0,0,1,Domain of unknown function (DUF370)
PF04028,0,0,0,0,3,0,0,1,0,Domain of unknown function (DUF374)
PF04029,0,0,1,0,1,0,0,0,2,2-phosphosulpholactate phosphatase
PF04030,1,2,1,1,3,1,1,1,2,"D-arabinono-1,4-lactone oxidase "
PF04031,1,1,1,1,1,1,1,1,1,Las1-like 
PF04032,1,1,1,1,2,1,1,2,1,RNAse P Rpr2/Rpp21/SNM1 subunit domain
PF04034,1,1,1,1,1,1,1,1,1,"Ribosome biogenesis protein, C-terminal"
PF04037,1,1,1,1,1,1,1,1,1,Domain of unknown function (DUF382) 
PF04039,0,2,2,0,1,0,0,0,0,Domain related to MnhB subunit of Na+/H+ antiporter
PF04041,0,0,0,0,4,0,4,3,3,"beta-1,4-mannooligosaccharide phosphorylase"
PF04042,3,3,3,3,3,3,3,3,3,DNA polymerase alpha/epsilon subunit B
PF04045,1,1,1,1,1,1,1,1,1,"Arp2/3 complex, 34 kD subunit p34-Arc"
PF04046,1,1,1,1,1,1,1,1,1,PSP
PF04048,1,1,1,1,1,1,1,1,1,Sec8 exocyst complex component specific domain
PF04049,1,1,1,1,1,1,1,1,1,Anaphase promoting complex subunit 8 / Cdc23 
PF04050,1,1,1,1,1,1,1,1,1,Up-frameshift suppressor 2 
PF04051,2,3,3,3,2,3,2,3,1,Transport protein particle (TRAPP) component
PF04052,0,0,2,0,7,0,1,3,0,TolB amino-terminal domain
PF04053,2,2,2,2,2,2,2,1,2,Coatomer WD associated region 
PF04054,1,1,1,1,1,1,1,1,1,"CCR4-Not complex component, Not1"
PF04055,4,29,41,4,90,5,15,31,30,Radical SAM superfamily
PF04056,2,2,2,2,2,2,2,2,2,Ssl1-like
PF04057,1,1,1,1,1,1,1,1,1,"Replication factor-A protein 1, N-terminal domain"
PF04059,0,0,0,0,0,1,0,0,1,RNA recognition motif 2
PF04060,0,0,0,0,2,0,0,0,0,Putative Fe-S cluster
PF04061,1,1,1,1,1,1,1,1,1,ORMDL family 
PF04062,1,1,1,1,1,1,1,1,1,ARP2/3 complex ARPC3 (21 kDa) subunit
PF04063,1,1,1,1,1,1,1,1,1,Domain of unknown function (DUF383)
PF04064,1,1,1,1,1,1,1,1,1,Domain of unknown function (DUF384)
PF04065,1,1,1,1,1,1,1,1,1,"Not1 N-terminal domain, CCR4-Not complex component "
PF04066,0,1,1,0,0,0,0,0,0,Multiple resistance and pH regulation protein F (MrpF / PhaF)
PF04068,2,2,1,2,2,2,2,2,2,"Possible Fer4-like domain in RNase L inhibitor, RLI"
PF04069,0,7,6,0,10,0,0,2,5,Substrate binding domain of ABC-type glycine betaine transport system
PF04072,2,2,2,2,2,2,2,2,2,Leucine carboxyl methyltransferase
PF04073,0,4,6,0,3,0,0,0,4,Aminoacyl-tRNA editing domain
PF04075,0,1,11,0,0,0,0,0,3,F420H(2)-dependent quinone reductase
PF04078,1,1,1,1,1,1,1,1,1,"Cell differentiation family, Rcd1-like "
PF04079,0,4,5,0,4,0,0,1,2,Segregation and condensation complex subunit ScpB
PF04080,1,1,0,1,1,1,1,0,1,Per1-like family
PF04081,1,1,1,1,1,1,1,1,1,"DNA polymerase delta, subunit 4 "
PF04082,34,31,35,33,32,30,30,34,31,Fungal specific transcription factor domain 
PF04083,2,1,2,2,2,2,2,2,2,Partial alpha/beta-hydrolase lipase region
PF04084,1,1,1,1,1,1,1,1,1,Origin recognition complex subunit 2 
PF04085,0,2,3,0,4,0,1,3,0,rod shape-determining protein MreC
PF04086,1,1,1,1,1,1,1,1,1,"Signal recognition particle, alpha subunit, N-terminal"
PF04087,0,3,0,0,4,0,1,0,4,Domain of unknown function (DUF389) 
PF04088,1,1,1,1,1,1,1,1,1,"Peroxin 13, N-terminal region"
PF04090,0,0,1,0,0,0,1,0,0,RNA polymerase I specific initiation factor
PF04091,1,1,1,1,1,1,1,1,2,Exocyst complex subunit Sec15-like 
PF04095,0,0,0,0,1,0,0,0,0,Nicotinate phosphoribosyltransferase (NAPRTase) family
PF04096,1,1,1,1,1,1,1,1,1,Nucleoporin autopeptidase
PF04097,1,1,1,1,1,1,1,1,1,Nup93/Nic96
PF04098,1,1,1,1,1,1,1,1,2,Rad52/22 family double-strand break repair protein
PF04099,2,2,2,2,2,2,2,2,2,Sybindin-like family 
PF04100,1,1,1,1,1,1,1,1,1,"Vps53-like, N-terminal "
PF04101,0,5,5,1,8,1,2,7,4,Glycosyltransferase family 28 C-terminal domain
PF04104,1,1,1,1,1,1,1,1,1,"Eukaryotic and archaeal DNA primase, large subunit"
PF04106,1,1,1,1,1,1,1,1,1,Autophagy protein Apg5 
PF04107,0,10,9,0,10,0,1,3,6,Glutamate-cysteine ligase family 2(GCS2)
PF04108,1,1,1,1,1,1,1,1,1,Autophagy protein Apg17 
PF04109,1,1,1,1,1,1,1,1,1,Autophagy protein Apg9 
PF04110,1,1,2,2,2,1,1,1,2,Ubiquitin-like autophagy protein Apg12 
PF04111,1,1,1,1,1,1,1,1,1,Apg6 BARA domain
PF04112,1,1,1,1,1,1,1,1,1,"Mak10 subunit, NatC N(alpha)-terminal acetyltransferase"
PF04113,1,1,1,1,1,1,1,1,1,"Gpi16 subunit, GPI transamidase component"
PF04114,1,1,1,1,1,1,1,1,1,"Gaa1-like, GPI transamidase component "
PF04115,1,1,1,1,3,1,1,1,1,Ureidoglycolate lyase
PF04116,5,11,10,6,15,8,8,12,9,Fatty acid hydroxylase superfamily
PF04117,3,3,3,3,3,3,3,3,3,Mpv17 / PMP22 family 
PF04118,1,1,1,1,1,1,1,1,1,"Dopey, N-terminal"
PF04119,1,1,1,1,1,1,1,1,1,Heat shock protein 9/12
PF04120,0,0,0,0,2,0,0,0,0,Low affinity iron permease 
PF04121,1,1,1,1,1,1,1,1,1,Nuclear pore protein 84 / 107 
PF04122,0,0,14,0,0,0,0,0,22,Putative cell wall binding repeat 2
PF04124,1,1,1,1,1,1,1,1,1,Dor1-like family 
PF04126,0,0,0,0,0,0,0,0,1,Cyclophilin-like
PF04127,1,4,3,0,7,0,0,0,2,DNA / pantothenate metabolism flavoprotein
PF04129,1,1,1,1,1,1,1,1,1,Vps52 / Sac2 family 
PF04130,5,5,5,5,5,5,5,5,5,Gamma tubulin complex component C-terminal
PF04131,0,0,2,0,0,0,0,0,0,Putative N-acetylmannosamine-6-phosphate epimerase
PF04133,1,1,1,1,1,1,1,1,1,Vacuolar protein sorting 55 
PF04134,0,1,2,0,5,0,0,1,0,"Protein of unknown function, DUF393"
PF04135,1,1,1,1,1,1,1,1,1,"Nucleolar RNA-binding protein, Nop10p family"
PF04136,1,1,1,1,1,1,1,1,1,Sec34-like family 
PF04137,1,1,1,1,1,1,1,1,1,Endoplasmic Reticulum Oxidoreductin 1 (ERO1)
PF04138,0,5,6,0,11,0,2,8,1,GtrA-like protein
PF04139,2,2,2,2,2,2,2,2,2,Rad9
PF04140,1,1,6,1,5,1,1,2,3,Isoprenylcysteine carboxyl methyltransferase (ICMT) family 
PF04142,1,1,1,1,1,1,1,1,1,Nucleotide-sugar transporter
PF04143,0,0,0,0,1,0,0,0,0,Sulphur transport
PF04145,3,3,3,3,3,3,3,3,3,Ctr copper transporter family
PF04146,2,2,2,2,2,2,2,2,2,YT521-B-like domain
PF04147,1,1,1,1,1,1,1,1,1,Nop14-like family 
PF04148,1,1,1,1,1,1,1,1,1,Transmembrane adaptor Erv26
PF04149,0,1,0,0,0,0,0,0,0,Domain of unknown function (DUF397)
PF04151,0,0,1,0,2,0,2,1,3,Bacterial pre-peptidase C-terminal domain
PF04152,1,1,1,1,1,1,1,1,1,Mre11 DNA-binding presumed domain 
PF04153,2,2,2,2,2,2,2,2,2,NOT2 / NOT3 / NOT5 family
PF04157,2,2,2,2,2,2,2,2,2,EAP30/Vps36 family
PF04158,1,1,1,1,1,1,1,1,1,Sof1-like domain 
PF04161,1,1,1,1,1,1,1,1,1,Arv1-like family 
PF04166,0,1,4,0,9,0,1,4,2,Pyridoxal phosphate biosynthetic protein PdxA
PF04167,0,2,0,0,0,0,0,0,0,Protein of unknown function (DUF402)
PF04168,0,2,3,0,6,0,2,1,2,A predicted alpha-helical domain with a conserved ER motif.
PF04172,0,0,1,0,3,0,0,0,0,LrgB-like family 
PF04173,0,0,1,0,0,0,0,0,0,TQO small subunit DoxD
PF04174,0,2,9,0,6,0,2,2,3,A circularly permuted ATPgrasp 
PF04176,1,1,1,1,1,1,1,1,1,TIP41-like family 
PF04177,1,1,1,1,1,1,1,1,1,TAP42-like family
PF04178,2,2,2,2,2,2,2,2,2,Got1/Sft2-like family 
PF04179,1,1,1,1,1,1,1,1,1,Rit1 DUSP-like domain
PF04180,1,1,1,1,1,1,1,1,1,Low temperature viability protein 
PF04181,1,1,1,1,1,1,1,1,1,Rtr1/RPAP2 family
PF04182,1,1,1,1,1,1,1,1,1,B-block binding subunit of TFIIIC
PF04183,0,2,1,0,2,0,1,1,0,IucA / IucC family
PF04186,0,1,0,0,0,0,0,0,0,FxsA cytoplasmic membrane protein 
PF04187,0,0,0,0,0,0,0,0,1,"Haem-binding uptake, Tiki superfamily, ChaN"
PF04189,1,1,1,1,1,1,1,1,1,Gcd10p family
PF04190,1,1,1,1,1,1,1,1,1,Protein of unknown function (DUF410) 
PF04191,3,3,9,3,11,3,3,4,3,Phospholipid methyltransferase 
PF04192,1,1,1,1,1,1,1,1,1,Utp21 specific WD40 associated putative domain 
